"Jelölt neve","Nemzetiség","Státusz","OEVK","Állapotváltozás dátuma","Jelölő szervezet neve","Lista típusa"
"ANTAL SZABOLCS","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"ANTAL SZABOLCS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. APÁTI ISTVÁN","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","2026. március 1.","Mi Hazánk Mozgalom",""
"DR. APÁTI ISTVÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ARACSI SÁNDOR","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"ARATÓ GERGELY","","Nyilvántartásba véve","Budapest főváros, 07. számú egyéni választókerület","2026. március 5.","Demokratikus Koalíció",""
"ARATÓ GERGELY","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"ÁRGYELÁN JÁNOS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"ÁRGYELÁN MIHÁLY","Román","Nyilvántartásba véve","","2026. március 2.","Magyarországi Románok Országos Önkormányzata","Nemzetiségi lista"
"DR. ARTNER ANNAMÁRIA","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"ÁRVAI ÁDÁM","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"ÁRVAI TIBOR","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. ÁRVAY NIKOLETT","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 03. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"DR. ÁRVAY NIKOLETT","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"ASZÓDI CSABA ANDRÁS","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"AUTH ISTVÁN","","Nyilvántartásba véve","Baranya vármegye, 01. számú egyéni választókerület","2026. március 6.","Demokratikus Koalíció",""
"AUTH ISTVÁN","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"AZBEJ TRISTAN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BABJÁK CSABA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BACSIKNÉ SZIGETI GABRIELLA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"BACSIKNÉ SZIGETI GABRIELLA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BADÓ PÉTER","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BAGDI PIROSKA JUDIT","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 03. számú egyéni választókerület","2026. március 9.","Független jelölt",""
"BAGDY GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. BAGI BARNA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BAGI REA","","Nyilvántartásba véve","Békés vármegye, 01. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"BAGI REA","","Ajánlóív igénylése visszautasítva","Békés vármegye, 01. számú egyéni választókerület","2026. február 18.","Magyar Kétfarkú Kutya Párt",""
"BAGI REA","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BAGYURA MÁRTON","","Nyilvántartásba véve","Baranya vármegye, 02. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"BAGYURA MÁRTON","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BAI LÁSZLÓ","","Nyilvántartásba vétel visszautasítva","Fejér vármegye, 03. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"BAJNOK GYULA","","Nyilvántartásba véve","Nógrád vármegye, 01. számú egyéni választókerület","2026. március 1.","Mi Hazánk Mozgalom",""
"BAJNOK GYULA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BÁKAI KRISTÓF","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BAKAI-NAGY ZITA","","Nyilvántartásba véve","Somogy vármegye, 04. számú egyéni választókerület","2026. március 7.","Demokratikus Koalíció",""
"BAKAI-NAGY ZITA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BAKK ISTVÁN","","Nyilvántartásba véve","Veszprém vármegye, 03. számú egyéni választókerület","2026. február 28.","Demokratikus Koalíció",""
"BAKK ISTVÁN","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BAKÓ JÓZSEF ISTVÁN","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 02. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"BAKÓ JÓZSEF ISTVÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BAKÓ NORBERT","","Nyilvántartásba véve","Tolna vármegye, 01. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"BAKÓ NORBERT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BAKONYI NORBERT","","Nem kíván indulni","Pest vármegye, 04. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"BAKOS CSABA ATTILA","","Nyilvántartásba véve","Somogy vármegye, 03. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"BAKOS CSABA ATTILA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BALAJTI ISTVÁN","","Nyilvántartásba véve","Pest vármegye, 08. számú egyéni választókerület","2026. február 26.","Tisztelet és Szabadság Párt",""
"BALAJTI ISTVÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BALANYI ISTVÁN","","Nyilvántartásba véve","Bács-Kiskun vármegye, 02. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DR. BALATINCZ PÉTER","","Nyilvántartásba véve","Veszprém vármegye, 03. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. BALATINCZ PÉTER","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. BALATONI KATALIN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BALÁZS IMRE","","Nem kíván indulni","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","2026. március 6.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BALÁZS ZOLTÁN","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 04. számú egyéni választókerület","2026. március 13.","Független jelölt",""
"BALLA ÉVA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BALLA GYÖRGY","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BALLA JENŐ","","Nem kíván indulni","Győr-Moson-Sopron vármegye, 01. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"BALLA MIHÁLY","","Nyilvántartásba véve","Nógrád vármegye, 02. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BALLA MIHÁLY","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BALLA PÉTER","","Nyilvántartásba véve","Heves vármegye, 01. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"BALLA PÉTER","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"DR. BALLESTER-BÓLYA BOGLÁRKA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BALOG CSABA","","Nyilvántartásba véve","Budapest főváros, 12. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"BALOG CSABA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BALOG NORBERT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BALOGH ÁGNES","","Nyilvántartásba vétel visszautasítva","Tolna vármegye, 02. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"BALOGH BALÁZS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BALOGH FERENC","","Kiesett","Komárom-Esztergom vármegye, 01. számú egyéni választókerület","2026. március 16.","Jobbik Magyarországért Mozgalom",""
"BALOGH GYÖRGY ATTILA","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 05. számú egyéni választókerület","2026. március 12.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BALOGH IMRE ATTILÁNÉ","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 01. számú egyéni választókerület","2026. március 7.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BALOGH IMRE ATTILÁNÉ","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"BALOGH LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BALOGH LEVENTE","","Nem kíván indulni","Pest vármegye, 08. számú egyéni választókerület","2026. március 3.","Normális Élet Pártja",""
"BALOGH MIHÁLY","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BALOGH RÓBERT","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 13.","Független jelölt",""
"BALOGH RÓBERT","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 7.","Független jelölt",""
"BALOGHNÉ GAÁL ZSÓFIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BALOGHNÉ RUSZNYÁK SAROLTA","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"BÁNFALVI CSABA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BÁNFI ANDRÁS ZOLTÁN","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 08. számú egyéni választókerület","2026. március 15.","Normális Élet Pártja",""
"BÁNFI ZOLTÁN","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"BÁNKI ERIK","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BÁNNÉ CSEKŐ JUDIT","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"BÁNNÉ DR. GÁL BOGLÁRKA","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BÁNNÉ DR. GÁL BOGLÁRKA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BÁNYAI AMIR ATTILA","","Nyilvántartásba véve","Budapest főváros, 16. számú egyéni választókerület","2026. március 6.","Demokratikus Koalíció",""
"BÁNYAI AMIR ATTILA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BÁNYAI GÁBOR","","Nyilvántartásba véve","Bács-Kiskun vármegye, 05. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BÁNYAI GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BARABÁS GYÖRGY LÁSZLÓ","","Nyilvántartásba véve","Budapest főváros, 03. számú egyéni választókerület","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BARANYI LÁSZLÓ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BARÁTI PÉTER","","Nem kíván indulni","Budapest főváros, 08. számú egyéni választókerület","2026. március 5.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"DR. BARCZA ATTILA","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 04. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. BARCZA ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. BARCSA LAJOS","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 01. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. BARCSA LAJOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BÁRDOS GEORGINA","","Nem kíván indulni","Fejér vármegye, 02. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"BARI LEVENTE SZABOLCS","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"BÁRKÁNYI BENCE","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 03. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"BÁRKÁNYI BENCE","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BÁRKÁNYI JUDIT","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"BARKÓCZI BALÁZS","","Nyilvántartásba véve","Budapest főváros, 13. számú egyéni választókerület","2026. február 27.","Demokratikus Koalíció",""
"BARKÓCZI BALÁZS","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BARNA ERZSÉBET","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BARNA JUDIT ANNAMÁRIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. BARNA-SZABÓ TÍMEA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 06. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. BARNA-SZABÓ TÍMEA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BARTAL ANDRÁS","","Nyilvántartásba véve","Budapest főváros, 13. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"BARTAL ANDRÁS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BARTHA BARNA","","Nyilvántartásba véve","Pest vármegye, 14. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"BARTHA BARNA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BARTHA ERZSÉBET","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BARTHA LÁSZLÓ ARNOLD","","Nem kíván indulni","Hajdú-Bihar vármegye, 06. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"BARTHEL-RÚZSA ZSOLT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BARTÓK NORBERT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"BARTOS MÓNIKA ÉVA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BARTUS LÁSZLÓ","","Nem kíván indulni","Budapest főváros, 08. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"BARTUS LÁSZLÓ SZABOLCS","","Nem kíván indulni","Budapest főváros, 10. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"BARTUS MERCÉDESZ","","Nem kíván indulni","Budapest főváros, 01. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"BATYI GYULA","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BATYI JÓZSEF","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BATYI KAMILLA","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BATYI MIKLÓS","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"BATYI SZILÁRD","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BAUCSEK RAJMUND","","Nem kíván indulni","Budapest főváros, 05. számú egyéni választókerület","2026. március 6.","Jobbik Magyarországért Mozgalom",""
"DR. BAUER BENCE","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BECK HENRIK","","Nyilvántartásba vétel visszautasítva","Bács-Kiskun vármegye, 05. számú egyéni választókerület","2026. március 10.","Jobbik Magyarországért Mozgalom",""
"DR. BECSÓ KÁROLY","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BECSÓ ZSOLT","","Nyilvántartásba véve","Nógrád vármegye, 01. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BECSÓ ZSOLT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BEDŐ KATALIN","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"BEIHAMMER ISTVÁNNÉ","","Nem kíván indulni","Tolna vármegye, 02. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BEJEK BENDEGÚZ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. BEKE ERZSÉBET","","Nyilvántartásba véve","Baranya vármegye, 04. számú egyéni választókerület","2026. március 9.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"BÉKÉSI LÁSZLÓ","","Nem kíván indulni","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. március 5.","Otthon Védelme Ingatlan Párt",""
"BÉKÉSI SÁNDOR","","Nyilvántartásba véve","Békés vármegye, 04. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DR. BENCZ ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BENCZE GÁBORNÉ","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 01. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"BENCZE JÁNOS","","Kiesett","Tolna vármegye, 03. számú egyéni választókerület","2026. április 2.","Jobbik Magyarországért Mozgalom",""
"BENCSIK JÁNOS","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 01. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BENCSIK JÁNOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BENDE BALÁZS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. BENE GÁBOR","","Nyilvántartásba vétel visszautasítva","Csongrád-Csanád vármegye, 02. számú egyéni választókerület","2026. március 13.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"BENEDEK ZSOLT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BÉNI GÁBOR","","Nem kíván indulni","Fejér vármegye, 04. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BENKE JÓZSEF","","Nyilvántartásba véve","Somogy vármegye, 02. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"BENKE JÓZSEF","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BERECZKI MIKLÓS","","Nyilvántartásba véve","Budapest főváros, 16. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"BERÉNYI GÁBOR","","Nyilvántartásba véve","Fejér vármegye, 04. számú egyéni választókerület","2026. március 15.","Magyar Kétfarkú Kutya Párt",""
"BÉRES BALÁZS ÁKOS","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 04. számú egyéni választókerület","2026. március 18.","Magyar Kétfarkú Kutya Párt",""
"BÉRES BALÁZS ÁKOS","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"BERKI ÁKOS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"BERKI ALEX","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 12. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"BERKI IBOLYA","","Nyilvántartásba vétel visszautasítva","Nógrád vármegye, 02. számú egyéni választókerület","2026. március 13.","Középen Állók Pártja",""
"BERKI SÁNDOR","","Kiesett","Nógrád vármegye, 01. számú egyéni választókerület","2026. március 23.","Független jelölt",""
"BERKÓ ATTILA","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 01. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"BERKÓ ATTILA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"BERNÁTH VIKTÓRIA","Ukrán","Nyilvántartásba véve","","2026. február 26.","Országos Ukrán Nemzetiségi Önkormányzat","Nemzetiségi lista"
